Training loss: 9.22e-02 lr: 3.06e-05:   6% 63/1015 [00:30<07:35,  2.09it/s]
Training loss: 1.01e-01 lr: 3.11e-05:   6% 64/1015 [00:30<07:35,  2.09it/s]
Training loss: 1.13e-01 lr: 3.16e-05:   6% 65/1015 [00:31<07:35,  2.08it/s]
Training loss: 9.06e-02 lr: 3.21e-05:   7% 66/1015 [00:31<07:35,  2.09it/s]
Training loss: 1.17e-01 lr: 3.25e-05:   7% 67/1015 [00:32<07:34,  2.09it/s]
Training loss: 9.56e-02 lr: 3.30e-05:   7% 68/1015 [00:32<07:36,  2.07it/s]
Training loss: 7.29e-02 lr: 3.35e-05:   7% 69/1015 [00:33<07:38,  2.06it/s]
Training loss: 5.97e-02 lr: 3.40e-05:   7% 70/1015 [00:33<07:36,  2.07it/s]
Training loss: 5.12e-02 lr: 3.45e-05:   7% 71/1015 [00:34<07:35,  2.07it/s]
Training loss: 6.54e-02 lr: 3.50e-05:   7% 72/1015 [00:34<07:35,  2.07it/s]
Training loss: 1.11e-01 lr: 3.55e-05:   7% 73/1015 [00:35<07:34,  2.07it/s]
Training loss: 8.15e-02 lr: 3.60e-05:   7% 74/1015 [00:35<07:33,  2.08it/s]
Training loss: 5.95e-02 lr: 3.65e-05:   7% 75/1015 [00:36<07:32,  2.08it/s]
Training loss: 4.71e-02 lr: 3.70e-05:   7% 76/1015 [00:36<07:33,  2.07it/s]
Training loss: 5.19e-02 lr: 3.75e-05:   8% 77/1015 [00:37<07:32,  2.07it/s]
Training loss: 1.23e-01 lr: 3.80e-05:   8% 78/1015 [00:37<07:32,  2.07it/s]
Training loss: 8.77e-02 lr: 3.85e-05:   8% 79/1015 [00:37<07:31,  2.07it/s]
Training loss: 6.33e-02 lr: 3.90e-05:   8% 80/1015 [00:38<07:33,  2.06it/s]
Training loss: 4.60e-02 lr: 3.94e-05:   8% 81/1015 [00:38<07:32,  2.06it/s]
Training loss: 1.51e-01 lr: 3.99e-05:   8% 82/1015 [00:39<07:33,  2.06it/s]
Training loss: 1.10e-01 lr: 4.04e-05:   8% 83/1015 [00:39<07:31,  2.06it/s]
Training loss: 9.46e-02 lr: 4.09e-05:   8% 84/1015 [00:40<07:35,  2.04it/s]
Training loss: 1.49e-01 lr: 4.14e-05:   8% 85/1015 [00:40<07:31,  2.06it/s]
Training loss: 1.24e-01 lr: 4.19e-05:   8% 86/1015 [00:41<07:31,  2.06it/s]
Training loss: 1.93e-01 lr: 4.24e-05:   9% 87/1015 [00:41<07:29,  2.06it/s]
Training loss: 2.03e-01 lr: 4.29e-05:   9% 88/1015 [00:42<07:31,  2.05it/s]
Training loss: 1.54e-01 lr: 4.34e-05:   9% 89/1015 [00:42<07:28,  2.06it/s]
Training loss: 1.29e-01 lr: 4.39e-05:   9% 90/1015 [00:43<07:26,  2.07it/s]
Training loss: 9.89e-02 lr: 4.44e-05:   9% 91/1015 [00:43<07:26,  2.07it/s]
Training loss: 8.89e-02 lr: 4.49e-05:   9% 92/1015 [00:44<07:25,  2.07it/s]
Training loss: 7.68e-02 lr: 4.54e-05:   9% 93/1015 [00:44<07:24,  2.08it/s]
