Training loss: 8.56e-01 lr: 4.01e-05:  36% 65/182 [00:51<01:32,  1.26it/s]
Training loss: 8.34e-01 lr: 3.97e-05:  36% 66/182 [00:51<01:31,  1.26it/s]
Training loss: 8.50e-01 lr: 3.94e-05:  37% 67/182 [00:52<01:30,  1.27it/s]
Training loss: 8.68e-01 lr: 3.90e-05:  37% 68/182 [00:53<01:29,  1.27it/s]
Training loss: 8.40e-01 lr: 3.87e-05:  38% 69/182 [00:54<01:28,  1.27it/s]
Training loss: 8.08e-01 lr: 3.83e-05:  38% 70/182 [00:55<01:28,  1.27it/s]
Training loss: 8.41e-01 lr: 3.80e-05:  39% 71/182 [00:55<01:27,  1.28it/s]
Training loss: 8.42e-01 lr: 3.76e-05:  40% 72/182 [00:56<01:25,  1.28it/s]
Training loss: 8.31e-01 lr: 3.73e-05:  40% 73/182 [00:57<01:25,  1.28it/s]
Training loss: 8.21e-01 lr: 3.69e-05:  41% 74/182 [00:58<01:24,  1.28it/s]
Training loss: 8.54e-01 lr: 3.66e-05:  41% 75/182 [00:58<01:23,  1.29it/s]
Training loss: 8.03e-01 lr: 3.63e-05:  42% 76/182 [00:59<01:22,  1.29it/s]
Training loss: 7.57e-01 lr: 3.59e-05:  42% 77/182 [01:00<01:21,  1.29it/s]
Training loss: 7.45e-01 lr: 3.56e-05:  43% 78/182 [01:01<01:20,  1.29it/s]
Training loss: 7.67e-01 lr: 3.52e-05:  43% 79/182 [01:02<01:19,  1.29it/s]
Training loss: 7.98e-01 lr: 3.49e-05:  44% 80/182 [01:02<01:18,  1.30it/s]
Training loss: 7.98e-01 lr: 3.45e-05:  45% 81/182 [01:03<01:17,  1.30it/s]
Training loss: 7.91e-01 lr: 3.42e-05:  45% 82/182 [01:04<01:16,  1.30it/s]
Training loss: 7.52e-01 lr: 3.38e-05:  46% 83/182 [01:05<01:15,  1.30it/s]
Training loss: 7.20e-01 lr: 3.35e-05:  46% 84/182 [01:05<01:15,  1.31it/s]
Training loss: 7.69e-01 lr: 3.31e-05:  47% 85/182 [01:06<01:14,  1.31it/s]
Training loss: 7.66e-01 lr: 3.28e-05:  47% 86/182 [01:07<01:13,  1.30it/s]
