Training loss: 8.84e-01 lr: 4.15e-05:  34% 65/194 [00:47<01:40,  1.28it/s]
Training loss: 8.52e-01 lr: 4.11e-05:  34% 66/194 [00:48<01:40,  1.28it/s]
Training loss: 8.90e-01 lr: 4.08e-05:  35% 67/194 [00:49<01:40,  1.27it/s]
Training loss: 8.60e-01 lr: 4.05e-05:  35% 68/194 [00:50<01:39,  1.27it/s]
Training loss: 8.90e-01 lr: 4.02e-05:  36% 69/194 [00:51<01:38,  1.26it/s]
Training loss: 8.66e-01 lr: 3.98e-05:  36% 70/194 [00:51<01:38,  1.26it/s]
Training loss: 8.36e-01 lr: 3.95e-05:  37% 71/194 [00:52<01:37,  1.26it/s]
Training loss: 8.12e-01 lr: 3.92e-05:  37% 72/194 [00:53<01:37,  1.26it/s]
Training loss: 8.14e-01 lr: 3.89e-05:  38% 73/194 [00:54<01:36,  1.25it/s]
Training loss: 7.99e-01 lr: 3.85e-05:  38% 74/194 [00:55<01:36,  1.25it/s]
Training loss: 8.28e-01 lr: 3.82e-05:  39% 75/194 [00:55<01:35,  1.25it/s]
Training loss: 7.97e-01 lr: 3.79e-05:  39% 76/194 [00:56<01:34,  1.25it/s]
Training loss: 7.72e-01 lr: 3.76e-05:  40% 77/194 [00:57<01:34,  1.24it/s]
Training loss: 7.72e-01 lr: 3.72e-05:  40% 78/194 [00:58<01:33,  1.24it/s]
Training loss: 7.66e-01 lr: 3.69e-05:  41% 79/194 [00:59<01:32,  1.24it/s]
Training loss: 7.70e-01 lr: 3.66e-05:  41% 80/194 [01:00<01:32,  1.24it/s]
Training loss: 7.62e-01 lr: 3.63e-05:  42% 81/194 [01:00<01:31,  1.24it/s]
Training loss: 7.35e-01 lr: 3.59e-05:  42% 82/194 [01:01<01:30,  1.23it/s]
Training loss: 7.20e-01 lr: 3.56e-05:  43% 83/194 [01:02<01:30,  1.23it/s]
Training loss: 7.51e-01 lr: 3.53e-05:  43% 84/194 [01:03<01:28,  1.24it/s]
Training loss: 7.40e-01 lr: 3.50e-05:  44% 85/194 [01:04<01:28,  1.24it/s]
Training loss: 8.03e-01 lr: 3.47e-05:  44% 86/194 [01:04<01:27,  1.23it/s]
Training loss: 8.09e-01 lr: 3.43e-05:  45% 87/194 [01:05<01:26,  1.24it/s]
Training loss: 7.43e-01 lr: 3.40e-05:  45% 88/194 [01:06<01:25,  1.24it/s]
Training loss: 7.16e-01 lr: 3.37e-05:  46% 89/194 [01:07<01:24,  1.24it/s]
Training loss: 7.08e-01 lr: 3.34e-05:  46% 90/194 [01:08<01:23,  1.25it/s]
